text,lemma,type,pos,BM,domain
resonando,resonar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
apoderó,apoderar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
círculo,círculo,uniword,NOUN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/vida-00006269-n']),u.c.StringArray(elements=['Estar enfermo con cáncer » Cambios vitales derivados del cáncer'])
el bicho;el tema,el,multiword,DET,None,u.c.StringArray(elements=['Tratamiento'])
susto,susto,uniword,NOUN,None,u.c.StringArray(elements=['Tratamiento'])
elimine,eliminir,uniword,VERB,None,u.c.StringArray(elements=['Tratamiento'])
región,región,uniword,NOUN,None,u.c.StringArray(elements=['Tratamiento'])
exponer,exponer,uniword,VERB,None,u.c.StringArray(elements=['Tratamiento'])
acabaste,acabastir,uniword,VERB,None,u.c.StringArray(elements=['Tratamiento'])
márgenes,margen,uniword,NOUN,None,u.c.StringArray(elements=['Tratamiento'])
inundan,inundar,uniword,VERB,None,None
lenta,lento,uniword,ADJ,None,None
hecho,hecho,uniword,ADJ,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad'])
seguia,seguia,uniword,VERB,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad'])
casa,casa,uniword,PROPN,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad'])
"autor 139]: hola, me gustaría saber como sigue tu madre y y si lo tenía muy extendido, a mi padre lo están tratando con quimio+inmuno y le falta un ciclo para terminar y después le dejarán la inmuno de mantenimiento

[autor 139]: hola, me gustaría saber como sigue tu madre y y si lo tenía muy extendido, a mi padre lo están tratando con quimio+inmuno y le falta un ciclo para terminar y después le dejarán la inmuno de mantenimiento",autor,multiword,NOUN,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad'])
marta,marta,uniword,PROPN,None,u.c.StringArray(elements=['Cancer » Cáncer como entidad'])
culpa,culpar,uniword,VERB,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/dar-01629000-v']),None
tube,tube,uniword,PROPN,u.c.StringArray(elements=['https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/dar-01629000-v']),None
progresión,progresión,uniword,NOUN,None,None
rondaba,rondar,uniword,VERB,None,None
basadas,basado,uniword,ADJ,None,None
remontar,remontar,uniword,VERB,None,None
pica,pico,uniword,ADJ,None,None
borde,borde,uniword,NOUN,None,None
suspenderlo,suspender él,uniword,VERB,None,None
