MV_Type	Lemma	Related_MV	Target_Domain	BM	CM	BM_RAE	CM_RAE
OneWordMV	claro	claroscuro	38	claroscuro-03016056-n			
OneWordMV	coger	coger fuerzas	3	coger-01214265-v			
OneWordMV	coger	coger a tiempo	11, 5	coger-01214265-v	coger-00588888-v		
OneWordMV	cola		82	cola-02157557-n	cola-15268367-n		
OneWordMV	combatir	combatir, combate: 76, 60					
OneWordMV	compáñera de vida						
OneWordMV	compañía	acompañar, compañía, 'es el amor el que te acompañará', acompañar en el sentimiento	77	acompañar-02025550-v			Participar en los sentimientos de alguien.
OneWordMV	compartir		81, 53	compartir-02295550-v	compartir-01063930-v		
OneWordMV	completo	respuestas completas	53	completo-00515380-a			
OneWordMV	comprometido	tener comprometido	5	comprometer-01036319-v			
OneWordMV	condición	me adapté bastante bien a mi nueva condición'	23	condición-06770875-n	efecto secundario-11415608-n		
OneWordMV	conexión		7	conexi%C3%B3n-00145218-n', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/conexi%C3%B3n-03091374-n	conexi%C3%B3n-13792579-n		
OneWordMV	confiar	confiar en los médicos					
OneWordMV	constante	ser constante	27	constante-00595299-a			
OneWordMV	consumir	consumir, consumir(se)	2	consumirse-00151689-v	consumirse-00241689-v		
OneWordMV	continuación						
OneWordMV	control	controlar, control, controlado	12, 28, 25, 51	controlar-00202569-v	controlar-02443049-v		
OneWordMV	controlado	controlar, control, controlado	12, 28, 25, 49	controlar-02441022-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/controlar-02443049-v	estable-01754421-a		
OneWordMV	controlar	controlar, control, controlado	12, 28, 25, 50	controlar-00202569-v	controlar-02443049-v		
OneWordMV	controlar	controlar, control, controlado	12, 28, 25, 51	controlar-00202569-v	controlar-02533282-v		
OneWordMV	controlar	controlar, control, controlado	12, 28, 25, 52	controlar-00202569-v', 'https://github.com/4dpicture/Medical-FLAVORS/data/wordnet/controlar-02454939-v	paliar-00064095-v		
OneWordMV	contundente		53		contundente-01770392-a	u.c.StringArray(elements=['dicho de un instrumento o de un acto: que produce contusión (rae)'])	
OneWordMV	convivir		2, 11			u.c.StringArray(elements=['vivir en compañía de otro u otros.'])	u.c.StringArray(elements=['coexistir en armonía'])
Frame	convivir	convive con el cáncer					
OneWordMV	coraje		3	coraje-04857083-n	coraje-01211019-n		
OneWordMV	corazón		36	coraz%C3%B3n-05388805-n	coraz%C3%B3n-05919263-n		
OneWordMV	cosa						
OneWordMV	costar		2, 31, 29	costar-02702508-v	costar-02628961-v		
OneWordMV	crecer	crecer (el cáncer)		crecer-00231557-v	carcinogénesis-80001130-n		
Frame_RoleMismatch	cruel	La vida fue cruel					
OneWordMV	cruzar		11	cruzar-01912159-v	cruzarse-01913997-v		
OneWordMV	cuadrar	no cuadrar (los resutados)	5	cuadrar-00145448-v	tener sentido-02619612-v		
OneWordMV	cuadro	cuadro de vértigo	23	cuadro-03876519-n			
OneWordMV	cubrir	cubrir necesidades básicas	27	cubrir-02147109-v			
OneWordMV	cuello	cuello uterino					
OneWordMV	culpa	por culpa de la enfermedad	2, 21, 11	culpa-13990675-n			u.c.StringArray(elements=['hecho de ser causante de algo (rae)'])
OneWordMV	dar	dar tos (ataque de tos),  dar pasos,  dar enfermedad, dar bajón, dar visibilidad	3, 77, 23	dar-01629000-v	dar-00108604-v		
OneWordMV	dar	dar gracias, dar luz,  dar descanso, dar crédito, dar por perdido, dar por vencido	3, 77, 24	dar-01629000-v	dar-00888009-v		
OneWordMV	dar	dar información, dar noticias, dar oportunidad, dar opinión, dar resultados,  dar cita, dar el alta, dar revisión, dar seguimiento, dar negativo, dar vacaciones, darse cuenta, dar(le) vueltas a algo	3, 77, 25	dar-01629000-v	dar-01060494-v		
OneWordMV	dar	dar alegría, dar tranquilidad, dar largas, dar miedo, dar amor, dar cariño, dar rabia, dar pánico, dar fuerzas, dar (palabras de) ánimo, dar ánimos, dar esperanzas, dar pánico, dar tregua, dar con	3, 77, 26	dar-01629000-v	dar-02309165-v		
Frame_RoleMismatch	dar un giro	mi vida a dado un giro total					
OneWordMV	débil	débil, debilidad, debilitado	26	d%C3%A9bil-01747364-a	d%C3%A9bil-01178134-a		
OneWordMV	débil	débil, debilidad, debilitado	26	d%C3%A9bil-01827766-a	d%C3%A9bil-01178134-a		
OneWordMV	debilidad	débil, debilidad, debilitado	26	d%C3%A9bil-01747364-a	d%C3%A9bil-01178134-a		
OneWordMV	debilitado	débil, debilidad, debilitado	26	d%C3%A9bil-01747364-a	d%C3%A9bil-01178134-a		
